"","Target","Bee_ID","Ct","SD","Replicate","Exp_ID","Gut_dissection_batch","DNA_Plate","Plate_Well","Robot_DNAextraction_Batch","Treatment","actin_Ct","actin_CopyNum","CopyNum","CopyNum_norm"
"132","univ",138,17.7912923333333,0.207322108358789,7,"14.65","6","2","B6","2","CL",23.6827666666667,3678201,564958310,410960289
"133","univ",139,18.1635945,0.251838201439934,7,"14.220","6","2","C6","2","CL",25.2798813333333,1244145,435737870,937072564
"134","univ",140,18.498245,0.235680104383038,7,"14.458","6","2","D6","2","CL",24.1896805,2607461,345017402,354031654
"135","univ",141,18.741409,0.0258546523473039,7,"14.43","6","2","E6","2","CL",24.781579,1744819,291187723,446520696
"136","univ",142,18.036676,0.217974150582127,7,"14.262","6","2","F6","2","CL",25.1757183333333,1335285,476075684,953939747
"137","univ",143,17.1176825,0.228991581339795,7,"14.4","6","2","G6","2","CL",23.5965183333333,3899940,903837585,620085229
"138","univ",144,16.729813,0.0934368755203217,7,"14.342","6","2","H6","2","CL",24.2701075,2468944,1184670860,1283823678
"139","univ",145,17.425718,0.144607579393338,7,"14.173","6","2","A7","2","CL",23.1547755,5263392,729070054,370614545
"140","univ",146,18.432008,0.00210293556725007,7,"14.219","6","2","B7","2","CL",25.957614,785422,361333213,1230902733
"141","univ",148,26.6985565,0.275809121322155,8,"15.170","7","2","D7","2","MD",22.713225,7102591,1131121,426100
"142","univ",149,28.2580956666667,0.175771118407814,8,"15.665","7","2","E7","2","MD",25.8145826666667,865492,381099,1178131
"143","univ",150,28.3093335,0.0382212428434762,8,"15.14","7","2","F7","2","MD",26.0241656666667,750734,367718,1310532
"144","univ",151,28.0366485,0.0855252722912952,8,"15.212","7","2","G7","2","MD",24.9800613333333,1524916,444761,780368
"145","univ",152,27.6992,0.178938841965628,8,"15.113","7","2","H7","2","MD",26.4193173333333,574132,562806,2622804
"146","univ",153,27.0507935,0.338629901976333,8,"15.475","7","2","A8","2","MD",23.4479243333333,4313774,884702,548730
"147","univ",154,27.436627,0.309722669654644,8,"15.91","7","2","B8","2","MD",23.56037,3996805,675937,452493
"148","univ",155,27.5886846666667,0.0713128453529479,8,"15.60","7","2","C8","2","MD",24.8580143333333,1656610,607911,981835
"149","univ",156,28.66705,0.00867337177803443,8,"15.62","7","2","D8","2","MD",25.608302,995557,286512,770009
"150","univ",157,27.876766,0.137854976852488,8,"15.647","7","2","E8","2","MD",24.997284,1507194,497237,882700
"151","univ",158,16.5683536666667,0.188967711687297,8,"16.308","7","2","F8","2","CL",23.6317,3807920,1325906028,931630813
"152","univ",159,16.986853,0.480136567323298,8,"16.126","7","2","G8","2","CL",24.1145943333333,2743786,990206906,965594159
"153","univ",160,16.571455,0.0429722933062689,8,"16.57","7","2","H8","2","CL",22.9928303333333,5874901,1323040620,602547849
"154","univ",161,18.788838,0.136842132722345,8,"16.530","7","2","A9","2","CL",24.9191673333333,1589260,281711237,474272707
"155","univ",162,16.804963,0.241172909859297,8,"16.139","7","2","B9","2","CL",22.7745685,6812951,1124166343,441483247
"156","univ",163,18.7347245,0.527810664428543,8,"16.114","7","2","C9","2","CL",24.2673423333333,2473582,292548697,316439559
"157","univ",164,16.851969,0.0725845110887995,8,"16.120","7","2","D9","2","CL",24.64372,1915956,1087902160,1519228933
"158","univ",165,16.2491875,0.433609899038871,8,"16.40","7","2","E9","2","CL",23.0743446666667,5558703,1656555465,797354457
"159","univ",166,16.5755375,0.103374061662005,8,"16.55","7","2","F9","2","CL",22.9632983333333,5993843,1319278124,588911334
"160","univ",167,19.04816,0.0777888169983314,8,"16.278","7","2","G9","2","CL",24.4771886666667,2145222,235093743,293216053
"161","univ",169,29.478935,2.7941564874892,9,"17.600","7","2","A10","2","MD",23.3186733333333,4709289,162621,92393
